"Can't send customer email","Can't send customer email"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"NOT LOGEED IN","NOT LOGEED IN"
"Dear Friend","Dear Friend"
"Can't send order placed coupon","Can't send order placed coupon"
"Thank you for creating account with","Thank you for creating account with"
"We have noticed you haven't log in for a long time and decided to send you a discount coupon to invite yor back in our store!","We have noticed you haven't log in for a long time and decided to send you a discount coupon to invite yor back in our store!"
"Feel free to use this coupon","Feel free to use this coupon"
"Please note that it expires in","Please note that it expires in"
Sincerely,Sincerely
Hello,Hello
"Happy Birthday to You","Happy Birthday to You"
"We have noticed you have placed an order and decided to send you a discount coupon to invite your back in our store","We have noticed you have placed an order and decided to send you a discount coupon to invite your back in our store"
"Thank you for","Thank you for"
"incredible years you've been staying with us","incredible years you've been staying with us"
"A month ago you have registered with us","A month ago you have registered with us"
"We have noticed you haven't checked your wishlist a long time and decided to send you a discount coupon to invite yor back in our store","We have noticed you haven't checked your wishlist a long time and decided to send you a discount coupon to invite yor back in our store"
"Special Occasion Coupons","Special Occasion Coupons"
General,General
"Email Sender","Email Sender"
"Remove not used Coupons after Creation (days)","Remove not used Coupons after Creation (days)"
"Indicate -1 if you would like not to remove coupons automatically","Indicate -1 if you would like not to remove coupons automatically"
"Customer Birthday","Customer Birthday"
Enabled,Enabled
"Send Coupon After (days)","Send Coupon After (days)"
"Indicate 0 for the same day, or -1,-2, etc to send the coupon before the date.","Indicate 0 for the same day, or -1,-2, etc to send the coupon before the date."
"Email Template","Email Template"
"Discount type","Discount type"
"Discount Amount","Discount Amount"
"Expire Coupon in (days)","Expire Coupon in (days)"
"Coupon Uses","Coupon Uses"
"Uses per Customer","Uses per Customer"
"Apply for Customer Group Only","Apply for Customer Group Only"
"Min Order Amount","Min Order Amount"
"New Registartion","New Registartion"
"Newsletter Subscribtion","Newsletter Subscribtion"
"To send the coupon in the subscription success email please add {{var subscriber.getCoupon()}} variable to the subscription success template.","To send the coupon in the subscription success email please add {{var subscriber.getCoupon()}} variable to the subscription success template."
"Wishlist Created","Wishlist Created"
"Indicate 0 for the same day.","Indicate 0 for the same day."
"No Customer Activity","No Customer Activity"
"Send Coupon After Last Log-In (days)","Send Coupon After Last Log-In (days)"
"Order Placed","Order Placed"
"One More Year With Us","One More Year With Us"
